"Rec No"	"Log:Obj Id"	"Log:Set No"	"Log:Condition"	"Log:Retval"	"Log:Unconditional"	"Log:Action"	"Log:Source"	"Log:Csource"	"Log:Flag1"	"Log:Flag2"	"Log:Flag3"	"Log:Filler"	"Log:Exlong"	"Log:User"	"Log:Date"
           2	"P2010"	      1		""the Sheriff of " & ~P9005G & " County""	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,906"
           3	"P2011"	      1		"CHOOSETF(~P9005G!="",~P9005G & " ","") & "County Jail""	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,894"
           4	"P2012"	      1	"~P9003V != """	"~P9003V"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,781"
           5	"P2013"	      1	"~P9005G != """	"~P9005G"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,186"
           6	"P2014"	      1		""Texas""	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
           7	"P3010"	      1		"~P3000V"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
           9	"P3082"	      1		""20""	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
          10	"P3106"	      1		""State vs. " &  ~P1408G"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,250"
          11	"P3125"	      1	"~P3100V != """	"~P3100V"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"WM"	"        74,470"
          13	"P4012"	      1		"~P3050V"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
          14	"P4020"	      1		""Texas""	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
          16	"P4053"	      1	"~A4053V = "Y""	"~P4065V"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
          19	"P8022"	      1		""20""	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
          20	"P9003"	      2		"CAPS(~P2012V)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
          21	"P9030"	      1		"~P9005G"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
          22	"P9800"	      1		"UPPER(~P9005G)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
          23	"P9999"	      1		"YEAR(TODAY())"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"LF"	"        71,915"
          24	"I0001"	      1		"CHOOSETF(~A0001V != "F","his","her")"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        74,462"
          25	"I0002"	      1		"CHOOSETF(~A0001V != "F","him","her")"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"RS"	"        72,297"
          26	"I0003"	      1		"CHOOSETF(~A0001V != "F","he","she")"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"RS"	"        72,297"
          27	"I0005"	      1	"~A0005V != 1"	""s""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LTJ"	"        78,928"
          28	"I0006"	      1	"~A0005V > 0"	"LISTDIM("and",~P0005V,0,~L0500V)"	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,200"
          29	"I0011"	      1	"~A0005V = 1"	"" is""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          30	"I0011"	      2	"~A0005V > 1"	"" are""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          31	"I0014"	      1		"CHOOSETF(~A0001V != "F","HIS","HER")"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"RS"	"        72,297"
          32	"I0030"	      1	"~A0030V = 1"	""free on bond""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,221"
          33	"I0030"	      2	"~A0030V = 2"	""incarcerated in the ~P2011V in ~P2012V, ~P2014V""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,221"
          34	"I0031"	      1	"~A0030V = 1"	"" free on bond pending hearing on this writ""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          35	"I0031"	      2	"~A0030V = 2"	"" confined in the ~P2011V in ~P2012V, ~P2014V, awaiting hearing on this writ""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          36	"I3010"	      1	"~A3010V = 1"	""Trial has been scheduled for ~P3050V""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
          37	"I3010"	      2	"~A3010V = 2"	""Trial has not yet been scheduled""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
          38	"I3100"	      1	"~A3100V = 1"	""Class A Misdemeanor""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
          39	"I3100"	      2	"~A3100V = 2"	""Class B Misdemeanor""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
          40	"I3100"	      3	"~A3100V = 3"	""Class C Misdemeanor""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
          41	"I3105"	      1	"~A3105V = 1"	""another""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          42	"I3105"	      2	"~A3105V > 1"	""other""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,250"
          43	"I3106"	      1	"~A3105V > 1"	""s""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,250"
          44	"I3107"	      1	"~A3105V = 1"	"" this other""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          45	"I3107"	      2	"~A3105V > 1"	"" these""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          46	"I3112"	      1	"~A3112V = 1"	""one""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          47	"I3112"	      2	"~A3112V = 2"	""two""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          48	"I3112"	      3	"~A3112V = 3"	""three""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          49	"I3112"	      4	"~A3112V = 4"	""four""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          50	"I3112"	      5	"~A3112V = 5"	""five""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          51	"I3112"	      6	"~A3112V = 6"	""six""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          52	"I3112"	      7	"~A3112V = 7"	""seven""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          53	"I3112"	      8	"~A3112V = 8"	""eight""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          54	"I3113"	      1	"~A3112V > 1"	""s""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          55	"I3114"	      1	"~A3112V = 1"	"" this""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          56	"I3114"	      2	"~A3112V > 1"	"" these""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,248"
          57	"I3115"	      1	"~A3111V = 1"	"" is""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          58	"I3115"	      2	"~A3111V > 1"	"" are""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          59	"I3116"	      1	"~A3111V = 1"	"" a""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          60	"I5005"	      1	"~A5005V > 1"	""s""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          61	"I6300"	      1	"~A6300V = 1"	""Court""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JW"	"        72,896"
          62	"I6300"	      2	"~A6300V = 2"	""jury""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LF"	"        72,030"
          63	"I6301"	      1	"~A6300V = 1"	"" jury""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          64	"I6301"	      2	"~A6300V = 2"	"" Court""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JW"	"        72,896"
          65	"I7300"	      1	"~A9990V = 1"	"" indictment""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,250"
          66	"I7300"	      2	"~A9990V = 2"	"" information""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,250"
          67	"I8011"	      1	"~A8010V > 1"	""s""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          68	"I8012"	      1	"~A8010V <= 1"	"" has""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          69	"I8012"	      2	"~A8010V > 1"	"" have""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"JA"	"        78,934"
          72	"I9003"	      1	"~A9100V = 1"	""~P9012V Judicial District Court of ~P9005G County""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,906"
          73	"I9003"	      3	"~A9100V = 3"	""County Court at Law Number ~P9018V of ~P9005G County""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,906"
          74	"I9005"	      1	"~A9005V = 1"	"" ~P9012V Judicial District Court""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
          75	"I9005"	      2	"~A9005V = 2"	"" County Court at Law Number ~P9020V""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
          76	"I9006"	      1	"~A9005V = 1"	""~P9000V""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
          77	"I9006"	      2	"~A9005V = 2"	""~P9004V""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
          78	"I9202"	      1	"~A0075V = 1"	"" District""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"AL"	"        74,442"
          79	"I9202"	      2	"~A0075V = 2"	"" County""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,251"
          80	"I9901"	      1	"~A8999V = 1"	""caption3""	  0	"IMPORT"	  2	  0	  0	  0	  0		             0	"TAW"	"        74,481"
          81	"I9901"	      2	"~A8999V = 2"	""caption4""	  0	"IMPORT"	  2	  0	  0	  0	  0		             0	"TAW"	"        74,481"
